date_utc,twilight,moon,ra_deg,dec_deg,mag,surf_brt,sub_lon,sub_lat,distance_au,elong_deg,elong_dir
2022-Jun-23 00:00,*,,6.64859,1.50485,-2.361,5.365,227.416342,2.648333,4.95093081170730,84.8413,/L
2022-Jun-24 00:00,*,,6.74862,1.54302,-2.368,5.365,17.922899,2.657562,4.93556625673554,85.6883,/L
2022-Jun-25 00:00,*,,6.84625,1.58012,-2.375,5.365,168.432177,2.666718,4.92018374243289,86.5379,/L
2022-Jun-26 00:00,*,,6.94146,1.61614,-2.381,5.365,318.944192,2.675798,4.90478744854566,87.3902,/L
2022-Jun-27 00:00,*,,7.03422,1.65106,-2.388,5.365,109.458960,2.684803,4.88938006615145,88.2450,/L
2022-Jun-28 00:00,*,,7.12450,1.68488,-2.395,5.365,259.976480,2.693730,4.87396583093903,89.1026,/L
2022-Jun-29 00:00,*,m,7.21227,1.71757,-2.402,5.365,50.496782,2.702580,4.85854750807607,89.9629,/L
2022-Jun-30 00:00,*,m,7.29749,1.74914,-2.409,5.365,201.019866,2.711349,4.84312967423361,90.8258,/L
2022-Jul-01 00:00,*,m,7.38013,1.77957,-2.416,5.365,351.545739,2.720037,4.82771688145865,91.6916,/L
2022-Jul-02 00:00,*,m,7.46018,1.80885,-2.423,5.365,142.074397,2.728643,4.81231223021430,92.5601,/L
2022-Jul-03 00:00,*,m,7.53761,1.83696,-2.430,5.365,292.605849,2.737164,4.79692007639802,93.4313,/L
2022-Jul-04 00:00,*,m,7.61239,1.86391,-2.437,5.365,83.140103,2.745600,4.78154342679701,94.3054,/L
2022-Jul-05 00:00,*,m,7.68452,1.88969,-2.445,5.365,233.677151,2.753948,4.76618689783190,95.1823,/L
2022-Jul-06 00:00,*,m,7.75396,1.91429,-2.452,5.364,24.217014,2.762208,4.75085317719594,96.0621,/L
2022-Jul-07 00:00,*,m,7.82070,1.93769,-2.459,5.364,174.759684,2.770377,4.73554710737889,96.9447,/L
2022-Jul-08 00:00,*,m,7.88472,1.95991,-2.467,5.364,325.305167,2.778453,4.72027305328614,97.8302,/L
2022-Jul-09 00:00,*,m,7.94603,1.98093,-2.474,5.363,115.853444,2.786434,4.70503438693945,98.7186,/L
2022-Jul-10 00:00,*,m,8.00461,2.00077,-2.482,5.363,266.404524,2.794318,4.68983506041946,99.6100,/L
2022-Jul-11 00:00,*,m,8.06045,2.01940,-2.489,5.362,56.958402,2.802103,4.67467786811800,100.5043,/L
2022-Jul-12 00:00,*,m,8.11352,2.03684,-2.497,5.362,207.515074,2.809788,4.65956709479721,101.4017,/L
2022-Jul-13 00:00,*,m,8.16381,2.05306,-2.504,5.361,358.074555,2.817369,4.64450478664541,102.3021,/L
2022-Jul-14 00:00,*,,8.21127,2.06806,-2.512,5.361,148.636841,2.824845,4.62949542222925,103.2056,/L
2022-Jul-15 00:00,*,,8.25587,2.08182,-2.520,5.360,299.201943,2.832213,4.61454275056278,104.1123,/L
2022-Jul-16 00:00,*,,8.29760,2.09434,-2.527,5.360,89.769844,2.839472,4.59965026081687,105.0223,/L
2022-Jul-17 00:00,*,,8.33643,2.10562,-2.535,5.359,240.340559,2.846618,4.58482160825830,105.9354,/L
2022-Jul-18 00:00,*,,8.37236,2.11564,-2.543,5.358,30.914086,2.853651,4.57005993193011,106.8519,/L
2022-Jul-19 00:00,*,,8.40537,2.12440,-2.551,5.358,181.490425,2.860568,4.55536995774996,107.7718,/L
2022-Jul-20 00:00,*,,8.43545,2.13190,-2.559,5.357,332.069588,2.867368,4.54075430340133,108.6950,/L
2022-Jul-21 00:00,*,,8.46257,2.13813,-2.566,5.356,122.651569,2.874048,4.52621830446834,109.6216,/L
2022-Jul-22 00:00,*,,8.48672,2.14308,-2.574,5.355,273.236374,2.880607,4.51176639744683,110.5517,/L
2022-Jul-23 00:00,*,,8.50790,2.14677,-2.582,5.354,63.823974,2.887043,4.49740332562394,111.4853,/L
2022-Jul-24 00:00,*,,8.52608,2.14917,-2.590,5.354,214.414373,2.893353,4.48313328768438,112.4223,/L
