date_utc,twilight,moon,ra_deg,dec_deg,mag,surf_brt,sub_lon,sub_lat,distance_au,elong_deg,elong_dir
2029-Feb-09 00:00,,,33.99333,11.16660,0.349,6.308,28.086336,-21.117525,9.40042904854244,75.0022,/T
2029-Feb-10 00:00,,,34.05151,11.19129,0.351,6.306,118.745846,-21.147601,9.41643243561902,74.0525,/T
2029-Feb-11 00:00,,,34.11123,11.21645,0.354,6.305,209.404130,-21.178249,9.43236111923712,73.1048,/T
2029-Feb-12 00:00,,,34.17245,11.24208,0.356,6.304,300.061220,-21.209459,9.44821046312591,72.1589,/T
2029-Feb-13 00:00,,,34.23517,11.26816,0.358,6.302,30.717154,-21.241222,9.46397584665039,71.2149,/T
2029-Feb-14 00:00,A,,34.29938,11.29468,0.360,6.301,121.371968,-21.273527,9.47965273861196,70.2729,/T
2029-Feb-15 00:00,A,m,34.36505,11.32165,0.362,6.299,212.025699,-21.306364,9.49523676054139,69.3327,/T
2029-Feb-16 00:00,A,m,34.43217,11.34904,0.364,6.297,302.678383,-21.339724,9.51072353660730,68.3945,/T
2029-Feb-17 00:00,A,m,34.50074,11.37686,0.366,6.296,33.330057,-21.373595,9.52610885343752,67.4582,/T
2029-Feb-18 00:00,A,m,34.57074,11.40510,0.368,6.294,123.980759,-21.407968,9.54138862346750,66.5238,/T
2029-Feb-19 00:00,A,m,34.64215,11.43376,0.369,6.292,214.630525,-21.442830,9.55655891266368,65.5913,/T
2029-Feb-20 00:00,A,m,34.71496,11.46281,0.371,6.291,305.279391,-21.478172,9.57161596148511,64.6607,/T
2029-Feb-21 00:00,A,m,34.78915,11.49227,0.373,6.289,35.927392,-21.513981,9.58655607387520,63.7320,/T
2029-Feb-22 00:00,A,m,34.86470,11.52212,0.374,6.287,126.574564,-21.550248,9.60137567922311,62.8052,/T
2029-Feb-23 00:00,A,m,34.94160,11.55235,0.376,6.285,217.220940,-21.586960,9.61607138347415,61.8803,/T
2029-Feb-24 00:00,A,m,35.01981,11.58295,0.377,6.283,307.866553,-21.624108,9.63063986680400,60.9573,/T
2029-Feb-25 00:00,A,m,35.09932,11.61392,0.378,6.281,38.511437,-21.661680,9.64507786574640,60.0362,/T
2029-Feb-26 00:00,A,m,35.18010,11.64525,0.379,6.279,129.155623,-21.699666,9.65938220980158,59.1168,/T
2029-Feb-27 00:00,A,m,35.26213,11.67691,0.381,6.277,219.799143,-21.738055,9.67354975326280,58.1993,/T
2029-Feb-28 00:00,A,m,35.34539,11.70891,0.382,6.275,310.442029,-21.776838,9.68757753298465,57.2836,/T
2029-Mar-01 00:00,A,m,35.42987,11.74124,0.383,6.273,41.084310,-21.816005,9.70146258565143,56.3696,/T
2029-Mar-02 00:00,A,,35.51556,11.77388,0.384,6.271,131.726016,-21.855547,9.71520194164981,55.4573,/T
